@RELATION <40-flow-features>

@ATTRIBUTE srcip STRING
@ATTRIBUTE srcport NUMERIC
@ATTRIBUTE dstip STRING
@ATTRIBUTE dstport NUMERIC
@ATTRIBUTE proto NUMERIC
@ATTRIBUTE total_fpackets NUMERIC
@ATTRIBUTE total_fvolume NUMERIC
@ATTRIBUTE total_bpackets NUMERIC
@ATTRIBUTE total_bvolume NUMERIC
@ATTRIBUTE min_fpktl NUMERIC
@ATTRIBUTE mean_fpktl NUMERIC
@ATTRIBUTE max_fpktl NUMERIC
@ATTRIBUTE std_fpktl NUMERIC
@ATTRIBUTE min_bpktl NUMERIC
@ATTRIBUTE mean_bpktl NUMERIC
@ATTRIBUTE max_bpktl NUMERIC
@ATTRIBUTE std_bpktl NUMERIC
@ATTRIBUTE min_fiat NUMERIC
@ATTRIBUTE mean_fiat NUMERIC
@ATTRIBUTE max_fiat NUMERIC
@ATTRIBUTE std_fiat NUMERIC
@ATTRIBUTE min_biat NUMERIC
@ATTRIBUTE mean_biat NUMERIC
@ATTRIBUTE max_biat NUMERIC
@ATTRIBUTE std_biat NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE min_active NUMERIC
@ATTRIBUTE mean_active NUMERIC
@ATTRIBUTE max_active NUMERIC
@ATTRIBUTE std_active NUMERIC
@ATTRIBUTE min_idle NUMERIC
@ATTRIBUTE mean_idle NUMERIC
@ATTRIBUTE max_idle NUMERIC
@ATTRIBUTE std_idle NUMERIC
@ATTRIBUTE sflow_fpackets NUMERIC
@ATTRIBUTE sflow_fbytes NUMERIC
@ATTRIBUTE sflow_bpackets NUMERIC
@ATTRIBUTE sflow_bbytes NUMERIC
@ATTRIBUTE fpsh_cnt NUMERIC
@ATTRIBUTE bpsh_cnt NUMERIC
@ATTRIBUTE furg_cnt NUMERIC
@ATTRIBUTE burg_cnt NUMERIC
@ATTRIBUTE total_fhlen NUMERIC
@ATTRIBUTE total_bhlen NUMERIC

@DATA
192.168.1.166,48247,89.30.121.150,80,6,8,2270,5,558,52,283,1500,499,52,111,317,115,59,165599,328814,155439,47477,220874,279481,115599,1159199,1159199,1159199,1159199,0,0,0,0,0,8,2270,5,558,2,2,0,0,424,268
192.168.1.223,3528,192.168.1.193,3222,17,6,2016,0,0,336,336,336,0,-1,-1,-1,0,105028,107449,111184,2849,0,0,0,0,537247,537247,537247,537247,0,0,0,0,0,6,2016,0,0,0,0,0,0,128,0
192.168.1.193,4375,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,136,6558,9394,4331,850,7028,15931,7347,29233,29233,29233,29233,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4053,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,66,7018,14488,5651,54,5867,19640,8136,43176,43176,43176,43176,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4378,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,3358,6454,12363,4026,76,5627,14593,6689,26706,26706,26706,26706,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4379,192.168.1.249,49152,6,6,506,5,1438,52,84,238,75,52,287,1222,522,1241,2597,5571,1760,58,3707,8304,4270,16130,16130,16130,16130,0,0,0,0,0,6,506,5,1438,1,1,0,0,320,268
192.168.1.193,4380,192.168.1.249,49152,6,6,506,5,1438,52,84,238,75,52,287,1222,522,82,2856,6150,2940,478,3459,7213,3422,15314,15314,15314,15314,0,0,0,0,0,6,506,5,1438,1,1,0,0,320,268
192.168.1.193,4059,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,64,4901,12672,4743,56,4886,18340,7285,30140,30140,30140,30140,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4061,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,66,7134,19364,7963,34,7226,23194,10176,44199,44199,44199,44199,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4062,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,313,2670,6494,2229,37,2820,7086,3094,17997,17997,17997,17997,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.196,4354,27.124.125.250,123,17,1,76,1,76,76,76,76,0,76,76,76,0,0,0,0,0,0,0,0,0,51047,51047,51047,51047,0,0,0,0,0,1,76,1,76,0,0,0,0,28,20
192.168.1.196,4355,192.168.1.1,53,17,1,58,1,532,58,58,58,0,532,532,532,0,0,0,0,0,0,0,0,0,4368,4368,4368,4368,0,0,0,0,0,1,58,1,532,0,0,0,0,28,20
192.168.1.249,57035,192.168.1.1,53,17,2,120,2,528,60,60,60,0,262,264,266,2,135,135,135,0,3082,3082,3082,0,288442,288442,288442,288442,0,0,0,0,0,2,120,2,528,0,0,0,0,48,40
192.168.1.249,43171,192.168.1.1,53,17,2,138,2,655,69,69,69,0,170,327,485,222,0,0,0,0,0,0,0,0,5006187,324,10784,21244,14792,4984619,4984619,4984619,0,1,69,1,327,0,0,0,0,48,40
192.168.1.112,25909,163.172.19.171,25050,6,9,836,9,448,40,92,301,91,40,49,64,10,1064,358117,412088,144283,1430,358325,416064,144267,3184917,3184917,3184917,3184917,0,0,0,0,0,9,836,9,448,5,5,0,0,368,364
192.168.1.193,3228,192.168.1.1,53,17,2,135,2,632,60,67,75,10,203,316,429,159,5364,5364,5364,0,1883,1883,1883,0,5679,5679,5679,5679,0,0,0,0,0,2,135,2,632,0,0,0,0,48,40
192.168.1.143,57272,54.255.159.36,80,6,5,320,5,507,40,64,148,47,40,101,335,130,101,60506,121687,69740,103,60439,120807,69233,360975,360975,360975,360975,0,0,0,0,0,5,320,5,507,1,1,0,0,212,212
192.168.1.249,40112,104.98.5.24,80,6,6,552,4,529,52,92,284,94,52,132,365,155,683,72932,353731,156990,3091,119203,350240,200084,364661,364661,364661,364661,0,0,0,0,0,6,552,4,529,1,1,0,0,320,216
192.168.1.240,38226,8.8.8.8,53,17,2,122,2,166,61,61,61,0,77,83,89,8,154,154,154,0,108,108,108,0,2373,2373,2373,2373,0,0,0,0,0,2,122,2,166,0,0,0,0,48,40
192.168.1.240,55259,8.8.8.8,53,17,2,122,2,166,61,61,61,0,77,83,89,8,148,148,148,0,111,111,111,0,2062,2062,2062,2062,0,0,0,0,0,2,122,2,166,0,0,0,0,48,40
192.168.1.240,50569,8.8.8.8,53,17,2,122,2,166,61,61,61,0,77,83,89,8,467,467,467,0,276,276,276,0,2140,2140,2140,2140,0,0,0,0,0,2,122,2,166,0,0,0,0,48,40
192.168.1.193,4576,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,3258,7425,11239,3736,61,7509,20452,9493,30994,30994,30994,30994,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4575,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,3332,10797,16855,6719,58,10753,31678,14688,44111,44111,44111,44111,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4577,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,3138,10888,20288,7893,609,10649,27733,12465,44382,44382,44382,44382,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4580,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,1105,3110,5871,2105,67,3057,6685,3123,13270,13270,13270,13270,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,3343,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,87,6574,18543,6952,71,6730,15559,6454,41489,41489,41489,41489,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3344,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,63,6795,15697,6210,64,6585,14202,6733,43220,43220,43220,43220,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3345,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,60,9047,20107,7778,62,8450,20258,9762,55033,55033,55033,55033,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.177,39556,192.168.1.1,53,17,1,62,1,78,62,62,62,0,78,78,78,0,0,0,0,0,0,0,0,0,297,297,297,297,0,0,0,0,0,1,62,1,78,0,0,0,0,28,20
192.168.1.177,39070,192.168.1.1,53,17,1,66,1,66,66,66,66,0,66,66,66,0,0,0,0,0,0,0,0,0,341,341,341,341,0,0,0,0,0,1,66,1,66,0,0,0,0,28,20
192.168.1.177,55994,192.168.1.1,53,17,1,68,1,68,68,68,68,0,68,68,68,0,0,0,0,0,0,0,0,0,299,299,299,299,0,0,0,0,0,1,68,1,68,0,0,0,0,28,20
192.168.1.177,58196,192.168.1.1,53,17,1,62,1,134,62,62,62,0,134,134,134,0,0,0,0,0,0,0,0,0,3123,3123,3123,3123,0,0,0,0,0,1,62,1,134,0,0,0,0,28,20
192.168.1.177,54308,192.168.1.1,53,17,1,64,1,64,64,64,64,0,64,64,64,0,0,0,0,0,0,0,0,0,303,303,303,303,0,0,0,0,0,1,64,1,64,0,0,0,0,28,20
192.168.1.249,44287,192.168.1.1,53,17,1,69,1,485,69,69,69,0,485,485,485,0,0,0,0,0,0,0,0,0,20405,20405,20405,20405,0,0,0,0,0,1,69,1,485,0,0,0,0,28,20
192.168.1.249,33899,192.168.1.1,53,17,2,120,2,262,60,60,60,0,129,131,133,2,130,130,130,0,342,342,342,0,749,749,749,749,0,0,0,0,0,2,120,2,262,0,0,0,0,48,40
192.168.1.240,38015,192.168.1.1,53,17,1,74,1,312,74,74,74,0,312,312,312,0,0,0,0,0,0,0,0,0,151059,151059,151059,151059,0,0,0,0,0,1,74,1,312,0,0,0,0,28,20
192.168.1.240,46899,72.21.207.120,443,6,14,3539,11,3684,40,252,1500,400,40,334,1500,578,94,181483,992842,267634,68,209106,1023108,316350,2359289,2359289,2359289,2359289,0,0,0,0,0,14,3539,11,3684,4,5,0,0,580,448
192.168.1.193,3347,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,68,5467,14406,6798,59,4241,12667,5395,35849,35849,35849,35849,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4589,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,116,9564,17185,7365,52,7642,20602,9782,42291,42291,42291,42291,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4588,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,7331,11404,17161,4672,48,8698,20602,10234,46515,46515,46515,46515,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,4587,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,9374,13517,16720,3694,51,10596,21276,11739,54980,54980,54980,54980,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,3351,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,1666,8809,16667,7107,66,7817,27190,11416,54575,54575,54575,54575,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4592,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,2901,7463,15150,5331,75,5062,12090,5744,30701,30701,30701,30701,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
192.168.1.193,3355,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,31,3410,10917,4738,40,4061,13840,5460,27981,27981,27981,27981,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3358,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,44,7611,29934,12165,60,7329,18781,8817,48384,48384,48384,48384,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3356,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,803,9832,18357,7038,41,9107,28617,11866,59792,59792,59792,59792,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3359,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,49,6845,16323,7580,30,5755,20500,8409,45058,45058,45058,45058,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3360,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,42,8508,16303,6275,52,7242,25024,10620,51825,51825,51825,51825,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,3361,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,45,2052,6265,2201,44,2639,8557,3289,16894,16894,16894,16894,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.143,25067,52.76.46.19,8089,17,1,41,0,0,41,41,41,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,28,0
192.168.1.143,25067,52.76.40.177,3478,17,1,56,1,96,56,56,56,0,96,96,96,0,0,0,0,0,0,0,0,0,120215,120215,120215,120215,0,0,0,0,0,1,56,1,96,0,0,0,0,28,20
192.168.1.143,25068,52.76.46.19,3478,17,16,896,0,0,56,56,56,0,-1,-1,-1,0,15383,94917,240612,90117,0,0,0,0,1423762,1423762,1423762,1423762,0,0,0,0,0,16,896,0,0,0,0,0,0,328,0
192.168.1.143,25067,52.76.46.19,3478,17,1,56,1,96,56,56,56,0,96,96,96,0,0,0,0,0,0,0,0,0,120236,120236,120236,120236,0,0,0,0,0,1,56,1,96,0,0,0,0,28,20
192.168.1.143,25067,149.171.37.162,25067,17,7,392,0,0,56,56,56,0,-1,-1,-1,0,202100,213982,263914,24486,0,0,0,0,1283893,1283893,1283893,1283893,0,0,0,0,0,7,392,0,0,0,0,0,0,148,0
192.168.1.177,138,192.168.1.255,138,17,2,480,0,0,237,240,243,4,-1,-1,-1,0,451,451,451,0,0,0,0,0,451,451,451,451,0,0,0,0,0,2,480,0,0,0,0,0,0,48,0
192.168.1.177,59686,176.31.232.79,443,6,13,1517,11,5383,52,116,394,125,52,489,1500,612,361,193153,445878,213511,68,222624,450769,213242,67313793,320070,1222162,2124254,1275750,64869469,64869469,64869469,0,6,758,5,2691,3,5,0,0,684,580
192.168.1.241,53469,203.100.61.10,123,17,1,76,1,76,76,76,76,0,76,76,76,0,0,0,0,0,0,0,0,0,50748,50748,50748,50748,0,0,0,0,0,1,76,1,76,0,0,0,0,28,20
192.168.1.240,47673,8.8.8.8,53,17,2,122,2,166,61,61,61,0,77,83,89,8,175,175,175,0,110,110,110,0,2671,2671,2671,2671,0,0,0,0,0,2,122,2,166,0,0,0,0,48,40
192.168.1.240,45196,8.8.8.8,53,17,2,122,2,166,61,61,61,0,77,83,89,8,153,153,153,0,117,117,117,0,2342,2342,2342,2342,0,0,0,0,0,2,122,2,166,0,0,0,0,48,40
192.168.1.240,40912,8.8.8.8,53,17,2,122,2,166,61,61,61,0,77,83,89,8,155,155,155,0,107,107,107,0,2035,2035,2035,2035,0,0,0,0,0,2,122,2,166,0,0,0,0,48,40
192.168.1.193,4051,192.168.1.223,49153,6,7,555,7,3989,52,79,235,68,52,569,1500,657,1374,4235,9963,3573,35,4396,12751,5630,28878,28878,28878,28878,0,0,0,0,0,7,555,7,3989,1,2,0,0,372,372
192.168.1.193,4359,192.168.1.249,49152,6,5,454,5,1438,52,90,238,82,52,287,1222,522,3773,9203,12147,3754,61,8124,20510,9863,42367,42367,42367,42367,0,0,0,0,0,5,454,5,1438,1,1,0,0,268,268
